,index,name,minutes,n_steps,ingredients,n_ingredients,ingredients_clean_processed,type
5206,139519,moroccan spiced couscous with fruits,60,12,"['couscous', 'vegetable stock', 'saffron thread', 'dried apricots', 'dates', 'raisins', 'chili powder', 'lemon oil', 'lemon, juice of', 'chickpeas', 'fresh mint leaves', 'fresh coriander leaves', 'sliced almonds', 'salt and pepper']",14,couscous vegetable stock saffron thread dried apricots dates raisins chili powder lemon oil lemon juice chickpeas fresh mint leaves fresh coriander leaves sliced almonds salt pepper,snacks
5209,139567,moroccan style split pea soup,200,2,"['split peas', 'water', 'carrots', 'celery ribs', 'onion', 'garlic', 'ground cumin', 'ground coriander', 'paprika', 'dried oregano', 'bay leaves', 'salt & freshly ground black pepper']",12,split peas water carrots celery ribs onion garlic ground cumin ground coriander paprika dried oregano bay leaves salt freshly ground black pepper,snacks
5213,139602,moroccan vegetables and cous cous,30,7,"['carrots', 'parsnips', 'butternut squash', 'onion', 'olive oil', 'vegetable stock cube', 'couscous', 'dried figs', 'ground cumin', 'paprika', 'coriander', 'coriander leaves']",12,carrots parsnips butternut squash onion olive oil vegetable stock cube couscous dried figs ground cumin paprika coriander coriander leaves,snacks
5231,140187,mrs  scott s chocolate vinegar cake,50,6,"['all-purpose flour', 'sugar', 'cocoa', 'baking soda', 'salt', 'white distilled vinegar', 'canola oil', 'water', 'vanilla']",9,purpose flour sugar cocoa baking soda salt white distilled vinegar canola oil water vanilla,light_meal
5232,140242,mucho margarita cupcakes  vegan,42,16,"['lime juice', 'lime zest', 'soymilk', 'canola oil', 'tequila', 'vanilla', 'granulated sugar', 'all-purpose flour', 'baking soda', 'baking powder', 'salt', 'margarine', 'green food coloring', ""confectioners' sugar"", 'kosher salt', 'decorator sugar']",16,lime juice lime zest soymilk canola oil tequila vanilla granulated sugar purpose flour baking soda baking powder salt margarine green food coloring confectioners sugar kosher salt decorator sugar,desserts
5234,140296,muesli in a slow cooker   crock pot,70,7,"['rolled oats', 'natural bran', 'wheat germ', 'coconut', 'raw sugar', 'oil', 'vanilla', 'sesame seeds', 'pumpkin seeds', 'sunflower seeds', 'peanuts', 'walnuts', 'linseeds', 'raisins', 'sultana', 'currants', 'dried apricot', 'dried cherries', 'dried apple']",19,rolled oats natural bran wheat germ coconut raw sugar oil vanilla sesame seeds pumpkin seeds sunflower seeds peanuts walnuts linseeds raisins sultana currants dried apricot dried cherries dried apple,breakfast
5242,140395,mulled pomegranate tea,30,11,"['water', 'cinnamon sticks', 'whole cloves', 'ground ginger', 'sugar', 'black tea bags', 'pomegranate juice', 'lemon juice']",8,water cinnamon sticks whole cloves ground ginger sugar black tea bags pomegranate juice lemon juice,other
5252,140499,mum s rice and nut loaf,70,4,"['cooked rice', 'walnuts', 'tomato puree', 'onions', 'cracker crumb', 'oil', 'sage', 'celery', 'parsley', 'salt', 'pepper']",11,cooked rice walnuts tomato puree onions cracker crumb oil sage celery parsley salt pepper,snacks
5275,141012,mushroom  white bean and leek ragot,25,11,"['garlic oil', 'button mushroom', 'leek', 'cannellini beans', 'low sodium vegetable broth', 'garlic cloves', 'fresh thyme', 'whole grain bread', 'fresh parsley']",9,garlic oil button mushroom leek cannellini beans low sodium vegetable broth garlic cloves fresh thyme whole grain bread fresh parsley,main_meal
5292,141655,my favorite almond milk,130,7,"['almonds', 'cold water', 'orange extract', 'white sugar']",4,almonds cold water orange extract white sugar,light_meal
5299,141818,my favorite vegan sandwich,5,3,"['bread', 'hummus', 'avocado', 'alfalfa sprout']",4,bread hummus avocado alfalfa sprout,snacks
5304,141962,my lightly spiced black beans,15,6,"['vegetable broth', 'red onion', 'canned black beans', 'unsweetened cocoa', 'turmeric', 'paprika', 'cinnamon', 'jalapeno pepper']",8,vegetable broth red onion canned black beans unsweetened cocoa turmeric paprika cinnamon jalapeno pepper,main_meal
5320,142385,myra s vegetarian chili,45,8,"['garlic cloves', 'ground cumin', 'olive oil', 'ground pepper', 'italian-style tomatoes', 'red kidney beans', 'garbanzo beans', 'water', 'black beans', 'tomato paste', 'carrot', 'chili powder', 'zucchini', 'dijon-style mustard', 'frozen whole kernel corn', 'dried basil', 'hot pepper sauce', 'dried oregano']",18,garlic cloves ground cumin olive oil ground pepper italian style tomatoes red kidney beans garbanzo beans water black beans tomato paste carrot chili powder zucchini dijon style mustard frozen whole kernel corn dried basil hot pepper sauce dried oregano,snacks
5332,142875,native australian pepperberry and strawberry juice dressing,2,3,"['strawberries', 'native pepper berries', 'fresh ground black pepper']",3,strawberries native pepper berries fresh ground black pepper,light_meal
5333,142892,natural  non dairy pink frosting,10,5,"['coconut oil', 'powdered sugar', 'vanilla', 'coconut milk', 'cherry preserves']",5,coconut oil powdered sugar vanilla coconut milk cherry preserves,desserts
5342,143040,needing one preserved lemon  now,10,10,"['lemon', 'salt', 'boiling water']",3,lemon salt boiling water,light_meal
5345,143131,nepalese vegetable pulao,50,12,"['basmati rice', 'cumin seed', 'turmeric', 'bay leaf', 'cloves', 'black cardamom pods', 'cinnamon', 'ginger', 'garlic', 'green chilies', 'yellow onion', 'tomatoes', 'green peas', 'salt', 'fresh lemon juice']",15,basmati rice cumin seed turmeric bay leaf cloves black cardamom pods cinnamon ginger garlic green chilies yellow onion tomatoes green peas salt fresh lemon juice,snacks
5364,143617,new zealand brown rice salad,140,11,"['brown rice', 'kiwi fruits', 'granny smith apple', 'celery', 'red pepper', 'walnut pieces', 'green onion', 'parsley', 'sherry wine vinegar', 'olive oil']",10,brown rice kiwi fruits granny smith apple celery red pepper walnut pieces green onion parsley sherry wine vinegar olive oil,snacks
5365,143683,nicaraguan rice and beans,420,17,"['pinto beans', 'bay leaf', 'onion', 'clove', 'garlic cloves', 'salt', 'white rice', 'olive oil', 'fresh black pepper']",9,pinto beans bay leaf onion clove garlic cloves salt white rice olive oil fresh black pepper,snacks
5373,143863,nigella lawson caramelized onion   lentil pilaf,40,13,"['onion', 'turmeric', 'ground cumin', 'ground coriander', 'cloves', 'mustard seeds', 'dried curry leaves', 'salt', 'fresh ground black pepper', 'green lentil', 'basmati rice']",11,onion turmeric ground cumin ground coriander cloves mustard seeds dried curry leaves salt fresh ground black pepper green lentil basmati rice,snacks
5375,143922,nikki s health cookies,30,7,"['bananas', 'vanilla extract', 'coconut oil', 'rolled oats', 'almond meal', 'coconut', 'cinnamon', 'sea salt', 'baking powder', 'dark chocolate bars']",10,bananas vanilla extract coconut oil rolled oats almond meal coconut cinnamon sea salt baking powder dark chocolate bars,snacks
5377,144102,no bake peanut butter cookies w  corn flakes,17,8,"['brown sugar', 'white sugar', 'light corn syrup', 'creamy peanut butter', 'vanilla', 'corn flakes']",6,brown sugar white sugar light corn syrup creamy peanut butter vanilla corn flakes,desserts
5379,144176,no cook brownies,360,5,"['almond meal', 'cocoa powder', 'sea salt', 'agave', 'water', 'cocoa nibs']",6,almond meal cocoa powder sea salt agave water cocoa nibs,desserts
5389,144553,no bake strawberry couscous cake,90,11,"['couscous', 'soymilk', 'water', 'apple juice', 'sea salt', 'vanilla extract', 'strawberry', 'kudzu', 'lemon peel']",9,couscous soymilk water apple juice sea salt vanilla extract strawberry kudzu lemon peel,snacks
5404,144726,no vinegar dill pickles,60510,15,"['kosher salt', 'pickling spices', 'garlic', 'pickling cucumber', 'dill seed', 'water']",6,kosher salt pickling spices garlic pickling cucumber dill seed water,snacks
5405,144755,nobu s asian matsuhisa salad dressing,5,3,"['onion', 'rice vinegar', 'water', 'granulated sugar', 'sea salt', 'mustard powder', 'ground black pepper', 'grapeseed oil', 'sesame oil', 'soy sauce']",10,onion rice vinegar water granulated sugar sea salt mustard powder ground black pepper grapeseed oil sesame oil soy sauce,main_meal
5421,144849,nonie s mandarin salad,10,7,"['romaine lettuce', 'mandarin orange segments', 'pine nuts', 'blush wine vinaigrette dressing']",4,romaine lettuce mandarin orange segments pine nuts blush wine vinaigrette dressing,snacks
5426,144995,north african  ras el hanout spice mix,10,8,"['ground cinnamon', 'ground cumin', 'ground turmeric', 'ground coriander', 'ground ginger', 'ground cardamom', 'ground nutmeg', 'ground cloves', 'mace', 'cayenne pepper', 'garlic powder', 'ground celery seed', 'ground black pepper', 'cornflour', 'rose petal', 'nigella seeds', 'anise seed', 'powdered saffron']",18,ground cinnamon ground cumin ground turmeric ground coriander ground ginger ground cardamom ground nutmeg ground cloves mace cayenne pepper garlic powder ground celery seed ground black pepper cornflour rose petal nigella seeds anise seed powdered saffron,other
5428,145004,north african chickpeas,45,8,"['onion', 'garlic', 'fresh ginger', 'red wine', 'cumin', 'cinnamon', 'paprika', 'crushed red pepper flakes', 'water', 'salt', 'sweet potatoes', 'dried apricot', 'chickpeas', 'raisins', 'lemon juice', 'sliced almonds']",16,onion garlic fresh ginger red wine cumin cinnamon paprika crushed red pepper flakes water salt sweet potatoes dried apricot chickpeas raisins lemon juice sliced almonds,main_meal
5444,145377,not your typical sweet bread  abm,190,5,"['warm water', 'salt', 'vegetable oil', 'brown sugar', 'white flour', 'wheat flour', 'yeast']",7,warm water salt vegetable oil brown sugar white flour wheat flour yeast,snacks
5447,145441,nuclear nuts,10,5,"['peanuts', 'maple syrup', 'dried chipotle powder', 'ground habanero chile pepper', 'cumin', 'salt']",6,peanuts maple syrup dried chipotle powder ground habanero chile pepper cumin salt,snacks
5448,145453,nummy couscous salad with dried fruit,25,7,"['boiling water', 'whole wheat couscous', 'raisins', 'craisins', 'chickpeas', 'green onions', 'red bell pepper', 'parsley', 'dried apricot', 'lemon juice', 'vegetable oil', 'ground cumin', 'ground turmeric', 'hot pepper sauce', 'salt and pepper']",15,boiling water whole wheat couscous raisins craisins chickpeas green onions red bell pepper parsley dried apricot lemon juice vegetable oil ground cumin ground turmeric hot pepper sauce salt pepper,snacks
5456,145643,nutritional yeast vegan gravy,20,5,"['unbleached white flour', 'nutritional yeast flakes', 'oil', 'water', 'soy sauce']",5,unbleached white flour nutritional yeast flakes oil water soy sauce,light_meal
5458,145647,nutritious flour blend,5,4,"['white flour', 'whole wheat flour', 'oat flour', 'barley flour', 'wheat germ', 'ground flax seeds', 'cornmeal']",7,white flour whole wheat flour oat flour barley flour wheat germ ground flax seeds cornmeal,snacks
5460,145698,nutty apple banana blast,5,2,"['apple cider', 'creamy peanut butter', 'banana', 'ice cubes', 'vanilla', 'cinnamon', 'sugar']",7,apple cider creamy peanut butter banana ice cubes vanilla cinnamon sugar,snacks
5461,145726,nutty carrot cumin soup,55,6,"['onions', 'garlic cloves', 'carrots', 'celery', 'low-sodium vegetable bouillon granules', 'cumin', 'water', 'ground almonds', 'black pepper']",9,onions garlic cloves carrots celery low sodium vegetable bouillon granules cumin water ground almonds black pepper,main_meal
5467,145846,nutty vegan pancakes,15,6,"['flour', 'stevia', 'baking powder', 'salt', 'ground flax seeds', 'almond extract', 'soy yogurt', 'soymilk', 'almond milk', 'canola oil']",10,flour stevia baking powder salt ground flax seeds almond extract soy yogurt soymilk almond milk canola oil,breakfast
5468,145847,nutty vegetable rice casserole,40,17,"['rice', 'water', 'beet leaves', 'carrots', 'onions', 'fresh ginger', 'garlic clove', 'olive oil', 'almond butter', 'milk', 'paprika', 'salt and pepper']",12,rice water beet leaves carrots onions fresh ginger garlic clove olive oil almond butter milk paprika salt pepper,snacks
5483,146188,oatmeal cookies  vegan,25,4,"['rolled oats', 'water', 'whole wheat flour', 'olive oil', 'sesame butter', 'demerara sugar', 'raisins', 'applesauce']",8,rolled oats water whole wheat flour olive oil sesame butter demerara sugar raisins applesauce,desserts
5488,146348,oatmeal raisin cookies   vegan,25,10,"['ground flax seeds', 'water', 'margarine', 'brown sugar', 'granulated sugar', 'vanilla extract', 'all-purpose flour', 'oat bran', 'baking soda', 'baking powder', 'salt', 'cinnamon', 'nutmeg', 'rolled oats', 'raisins']",15,ground flax seeds water margarine brown sugar granulated sugar vanilla extract purpose flour oat bran baking soda baking powder salt cinnamon nutmeg rolled oats raisins,desserts
5491,146514,ocean bleu cocktail,3,2,"['vodka', 'hpnotiq liqueur', 'blue curacao', 'white cranberry juice', 'lime juice']",5,vodka hpnotiq liqueur blue curacao white cranberry juice lime juice,other
5538,147661,omani  hibiscus tea,30,5,"['dried hibiscus flowers', 'whole cloves', 'fresh ginger', 'lemon', 'sugar']",5,dried hibiscus flowers whole cloves fresh ginger lemon sugar,main_meal
5562,148525,orananna goodness smoothie  raw food,5,2,"['bananas', 'orange', 'orange juice', 'baby spinach leaves']",4,bananas orange orange juice baby spinach leaves,snacks
5603,149555,orange  peach  strawberry and banana smoothie,5,4,"['orange juice', 'strawberries', 'peach', 'banana', 'orange sherbet']",5,orange juice strawberries peach banana orange sherbet,snacks
5616,149760,oranges in orange syrup,35,11,"['navel oranges', 'sugar', 'water', 'red currant jelly', 'grand marnier']",5,navel oranges sugar water red currant jelly grand marnier,main_meal
5624,150117,oriental sesame salad dressing,5,3,"['hoisin sauce', 'olive oil', 'red wine vinegar', 'seasoned rice vinegar', 'dijon mustard', 'lime juice', 'toasted sesame oil', 'gingerroot', 'fresh ground black pepper']",9,hoisin sauce olive oil red wine vinegar seasoned rice vinegar dijon mustard lime juice toasted sesame oil gingerroot fresh ground black pepper,light_meal
5635,150579,outright oatmeal milk,10,3,"['banana', 'oatmeal', 'water', 'vanilla extract']",4,banana oatmeal water vanilla extract,light_meal
5654,151219,oven roasted sweet onions,25,8,"['sweet onions', 'fresh garlic cloves', 'bay leaves', 'fresh parsley', 'fresh sage', 'fresh oregano', 'fresh basil', 'kosher salt', 'cracked black pepper', 'balsamic vinegar', 'extra virgin olive oil']",11,sweet onions fresh garlic cloves bay leaves fresh parsley fresh sage fresh oregano fresh basil kosher salt cracked black pepper balsamic vinegar extra virgin olive oil,main_meal
5680,152046,pan seared tofu with spicy peanut sauce,75,6,"['firm tofu', 'peanut sauce', 'spinach', 'cucumber']",4,firm tofu peanut sauce spinach cucumber,main_meal
5691,152355,panfried brussels sprouts with a new flavour,13,9,"['brussels sprouts', 'olive oil', 'salt', 'black pepper', 'caraway seed', 'dry vermouth']",6,brussels sprouts olive oil salt black pepper caraway seed dry vermouth,light_meal
5717,153221,parsley vinaigrette,10,2,"['fresh parsley leaves', 'onion', 'garlic cloves', 'olive oil', 'sugar', 'salt', 'vinegar']",7,fresh parsley leaves onion garlic cloves olive oil sugar salt vinegar,light_meal
5738,153994,pasta with eggplant sauce,55,9,"['chinese eggplants', 'mushroom', 'onion', 'fresh garlic cloves', 'tomatoes with basil', 'olive oil', 'fresh parsley', 'herbs', 'sugar', 'salt', 'pepper', 'balsamic vinegar', 'pasta']",13,chinese eggplants mushroom onion fresh garlic cloves tomatoes basil olive oil fresh parsley herbs sugar salt pepper balsamic vinegar pasta,main_meal
5749,154542,paul gayler s thai inspired risotto with pumpkin,80,8,"['margarine', 'onion', 'garlic', 'lemongrass', 'red chile', 'curry powder', 'fresh gingerroot', 'pumpkin', 'arborio rice', 'dry white wine', 'vegetable stock', 'coconut milk', 'of fresh mint', 'fresh coriander', 'salt & freshly ground black pepper', 'coconut']",16,margarine onion garlic lemongrass red chile curry powder fresh gingerroot pumpkin arborio rice dry white wine vegetable stock coconut milk fresh mint fresh coriander salt freshly ground black pepper coconut,snacks
5750,154761,paula deen george iv s favorite guacamole,15,4,"['avocados', 'tomatoes', 'yellow onion', 'cilantro', 'lime, zest of', 'lime juice', 'garlic cloves', 'jalapeno pepper', 'salt', 'tortilla chips']",10,avocados tomatoes yellow onion cilantro lime zest lime juice garlic cloves jalapeno pepper salt tortilla chips,snacks
5775,155506,peachy peach smoothie  vegan,10,3,"['peaches', 'ice', 'soymilk', 'ground ginger', 'cinnamon', 'allspice']",6,peaches ice soymilk ground ginger cinnamon allspice,snacks
5776,155541,peachy licious oatmeal,8,7,"['quick oats', 'peach juice', 'banana', 'honey', 'peach']",5,quick oats peach juice banana honey peach,light_meal
5777,155545,peanana roll ups,10,4,"['flour tortilla', 'peanut butter', 'banana', 'chocolate syrup', 'caramel syrup']",5,flour tortilla peanut butter banana chocolate syrup caramel syrup,snacks
5778,155556,peanut banana milkshake,7,3,"['bananas', 'soymilk', 'chunky peanut butter', 'chocolate-covered peanuts']",4,bananas soymilk chunky peanut butter chocolate covered peanuts,snacks
5779,155580,peanut butter   banana oat bran,4,4,"['oat bran', 'splenda sugar substitute', 'banana', 'water', 'peanut butter']",5,oat bran splenda sugar substitute banana water peanut butter,light_meal
5780,155581,peanut butter   banana oatmeal cookies  egg free  milk free,25,7,"['bananas', 'peanut butter', 'brown sugar', 'quick-cooking oats', 'flour']",5,bananas peanut butter brown sugar quick cooking oats flour,breakfast
5781,155639,peanut butter and banana oat cookies,25,5,"['bananas', 'peanut butter', 'rolled oats', 'oat flour', 'raisins', 'butter', 'salt', 'vanilla extract']",8,bananas peanut butter rolled oats oat flour raisins butter salt vanilla extract,snacks
5782,155667,peanut butter and cucumber roll ups,5,9,"['flat bread', 'peanut butter', 'cucumber', 'salt']",4,flat bread peanut butter cucumber salt,snacks
5783,155697,peanut butter and jelly hummus,5,4,"['chickpeas', 'red kidney beans', 'natural-style peanut butter', 'black tea', 'raspberry jam']",5,chickpeas red kidney beans natural style peanut butter black tea raspberry jam,snacks
5784,155722,peanut butter and pickle sandwich,5,4,"['bread', 'peanut butter', 'sweet gherkins']",3,bread peanut butter sweet gherkins,snacks
5785,155724,peanut butter and pickle sushi,45,6,"['sushi rice', 'nori', 'dill pickle', 'smooth peanut butter']",4,sushi rice nori dill pickle smooth peanut butter,snacks
5786,155731,peanut butter and syrup,2,3,"['peanut butter', 'syrup']",2,peanut butter syrup,main_meal
5787,155732,peanut butter and tomato toast,5,5,"['tomatoes', 'bread', 'peanut butter', 'salt', 'pepper']",5,tomatoes bread peanut butter salt pepper,snacks
5788,155739,peanut butter apple wraps,12,5,"['creamy peanut butter', 'whole wheat tortillas', 'apple', 'carrot', 'low-fat granola', 'toasted wheat germ']",6,creamy peanut butter whole wheat tortillas apple carrot low fat granola toasted wheat germ,snacks
5789,155747,peanut butter banana berry blast,5,2,"['apple cider', 'creamy peanut butter', 'banana', 'frozen mixed berries', 'vanilla', 'cinnamon', 'sugar']",7,apple cider creamy peanut butter banana frozen mixed berries vanilla cinnamon sugar,snacks
5790,155751,peanut butter banana breakfast,5,3,"['banana', 'bread', 'peanut butter']",3,banana bread peanut butter,snacks
5791,155795,peanut butter bread  bread machine,0,2,"['water', 'peanut butter', 'whole wheat flour', 'gluten flour', 'bread flour', 'brown sugar', 'salt', 'active dry yeast']",8,water peanut butter whole wheat flour gluten flour bread flour brown sugar salt active dry yeast,snacks
5792,155976,peanut butter crunch squares,30,10,"['margarine', 'brown sugar', 'flour', 'white sugar', 'light corn syrup', 'peanut butter chips', 'chunky peanut butter', 'corn flakes']",8,margarine brown sugar flour white sugar light corn syrup peanut butter chips chunky peanut butter corn flakes,main_meal
5793,155977,peanut butter crunch wraps,10,5,"['whole wheat tortilla', 'peanut butter', 'granola cereal', 'banana']",4,whole wheat tortilla peanut butter granola cereal banana,snacks
5794,156073,peanut butter hummus,7,6,"['chickpeas', 'peanut butter', 'lemon juice', 'garlic clove', 'parsley', 'salt']",6,chickpeas peanut butter lemon juice garlic clove parsley salt,snacks
5795,156097,peanut butter krispies treats,12,7,"['corn syrup', 'sugar', 'smooth peanut butter', 'rice krispies']",4,corn syrup sugar smooth peanut butter rice krispies,snacks
5796,156107,peanut butter maple syrup,8,4,"['maple syrup', 'peanut butter']",2,maple syrup peanut butter,other
5797,156173,peanut butter pie  vegan,5,4,"['firm silken tofu', 'peanut butter', 'sugar', 'soymilk', 'vanilla extract', 'pie crust']",6,firm silken tofu peanut butter sugar soymilk vanilla extract pie crust,desserts
5798,156213,peanut butter pudding  vegan,10,2,"['extra firm tofu', 'creamy peanut butter', 'brown sugar', 'vanilla extract']",4,extra firm tofu creamy peanut butter brown sugar vanilla extract,desserts
5799,156286,peanut butter stuffed prunes,15,3,"['pitted prunes', 'peanut butter']",2,pitted prunes peanut butter,snacks
5800,156325,peanut butter  banana  chocolate chip brownies  vegan or not,40,7,"['natural-style peanut butter', 'bananas', 'brown sugar', 'soymilk', 'vanilla extract', 'baking powder', 'flour', 'chocolate chips']",8,natural style peanut butter bananas brown sugar soymilk vanilla extract baking powder flour chocolate chips,main_meal
5801,156346,peanut butter banana carob milkshake,5,5,"['banana', 'light vanilla soymilk', 'carob powder', 'peanut butter', 'sugar', 'ice cubes', 'cinnamon']",7,banana light vanilla soymilk carob powder peanut butter sugar ice cubes cinnamon,snacks
5805,156442,peanut pattie,40,8,"['sugar', 'white karo', 'salt', 'raw peanuts', 'red food coloring', 'water', 'vanilla extract', 'margarine']",8,sugar white karo salt raw peanuts red food coloring water vanilla extract margarine,desserts
5806,156448,peanut pita  filling,20,10,"['roasted peanuts', 'vegan margarine', 'spring onions', 'raisins', 'tomatoes', 'whole wheat pita bread']",6,roasted peanuts vegan margarine spring onions raisins tomatoes whole wheat pita bread,snacks
5854,158508,perfect steamed rice every time,25,14,"['long-grain rice', 'water']",2,long grain rice water,snacks
5874,159001,peta s awfully good waffles,10,4,"['white flour', 'whole wheat flour', 'baking powder', 'cinnamon', 'salt', 'soymilk', 'applesauce']",7,white flour whole wheat flour baking powder cinnamon salt soymilk applesauce,light_meal
5880,159184,philly chinatown oriental ginger cucumbers,720,12,"['cucumbers', 'salt', 'fresh ginger', 'white vinegar', 'sugar', 'water', 'dark sesame oil', 'toasted sesame seeds', 'hot chili flakes']",9,cucumbers salt fresh ginger white vinegar sugar water dark sesame oil toasted sesame seeds hot chili flakes,light_meal
6005,161491,plain ole italian bread abm,195,5,"['warm water', 'olive oil', 'brown sugar', 'bread flour', 'salt', 'active dry yeast']",6,warm water olive oil brown sugar bread flour salt active dry yeast,snacks
6029,162299,pomegranate coolers,10,4,"['of fresh mint', 'pomegranate juice', 'fresh lime juice', 'lime slices', 'ginger ale', 'ice']",6,fresh mint pomegranate juice fresh lime juice lime slices ginger ale ice,snacks
6079,164531,potato and mushroom soup,40,4,"['onion', 'potato', 'celery', 'mushrooms', 'olive oil', 'vegetable stock', 'garlic cloves', 'parsley', 'ground black pepper']",9,onion potato celery mushrooms olive oil vegetable stock garlic cloves parsley ground black pepper,main_meal
6080,164554,potato and roasted garlic broth,65,6,"['garlic', 'potatoes', 'vegetable stock', 'flat leaf parsley']",4,garlic potatoes vegetable stock flat leaf parsley,main_meal
6110,165501,powda bon  powder bun,35,10,"['unbleached flour', 'baking powder', 'salt', 'brown sugar', 'unbleached cane sugar', 'nutmeg', 'butter', 'coconut milk', 'vanilla', 'raisins']",10,unbleached flour baking powder salt brown sugar unbleached cane sugar nutmeg butter coconut milk vanilla raisins,snacks
6129,166117,properly prepared spaghetti squash,65,14,"['spaghetti squash', 'garlic', 'salt', 'pepper', 'olive oil', 'vegetable oil', 'vegetables']",7,spaghetti squash garlic salt pepper olive oil vegetable oil vegetables,snacks
6131,166203,protein fitness energy bars,30,12,"['rolled oats', 'crispy rice cereal', 'sesame seeds', 'dried apricots', 'raisins', 'protein powder', 'psyllium', 'toasted wheat germ', 'brown rice syrup', 'splenda granular', 'peanut butter', 'vanilla', 'cinnamon']",13,rolled oats crispy rice cereal sesame seeds dried apricots raisins protein powder psyllium toasted wheat germ brown rice syrup splenda granular peanut butter vanilla cinnamon,snacks
6135,166254,provencal tomato sauce  uses fresh tomatoes,55,7,"['olive oil', 'onion', 'garlic cloves', 'bay leaves', 'tomatoes', 'salt', 'pepper', 'fresh thyme', 'fresh marjoram', 'tomato paste']",10,olive oil onion garlic cloves bay leaves tomatoes salt pepper fresh thyme fresh marjoram tomato paste,other
6158,166937,pumpkin cookies  vegan,25,7,"['pumpkin puree', 'whole wheat flour', 'baking powder', 'cinnamon', 'baking soda', 'salt', 'soymilk', 'sugar', 'nutmeg', 'raisins']",10,pumpkin puree whole wheat flour baking powder cinnamon baking soda salt soymilk sugar nutmeg raisins,light_meal
6160,166991,pumpkin curry,45,10,"['cooked pumpkin', 'cooked sweet potato', 'carrot', 'spinach', 'baked beans', 'masala', 'garam masala', 'ginger powder', 'ground cumin', 'mustard seeds', 'ground cinnamon', 'ground coriander', 'turmeric', 'salt', 'soy sauce', 'sunflower seeds', 'brown basmati rice', 'water', 'oil']",19,cooked pumpkin cooked sweet potato carrot spinach baked beans masala garam masala ginger powder ground cumin mustard seeds ground cinnamon ground coriander turmeric salt soy sauce sunflower seeds brown basmati rice water oil,main_meal
6165,167170,pumpkin oatmeal,4,6,"['old fashioned oats', 'water', 'pumpkin', 'pumpkin pie spice', 'brown sugar', 'splenda sugar substitute']",6,old fashioned oats water pumpkin pumpkin pie spice brown sugar splenda sugar substitute,snacks
6167,167355,pumpkin quesadilla for one,10,6,"['whole wheat tortillas', 'peanut butter', 'canned pumpkin', 'pumpkin pie spice', 'honey']",5,whole wheat tortillas peanut butter canned pumpkin pumpkin pie spice honey,snacks
6169,167403,pumpkin seed   yam pater,55,6,"['pumpkin seeds', 'yam', 'red onion', 'garlic cloves', 'tamari', 'lemon juice', 'nutritional yeast', 'oil', 'dijon mustard', 'rosemary', 'sesame seeds']",11,pumpkin seeds yam red onion garlic cloves tamari lemon juice nutritional yeast oil dijon mustard rosemary sesame seeds,snacks
6172,167448,pumpkin soup with curry and basil,50,10,"['oil', 'sesame oil', 'curry powder', 'garlic clove', 'spring onions', 'hokkaido squash', 'hot water', 'salt and pepper', 'fresh basil']",9,oil sesame oil curry powder garlic clove spring onions hokkaido squash hot water salt pepper fresh basil,main_meal
6188,167784,purple oatmeal,35,8,"['water', 'steel cut oats', 'lemon, zest of', 'ground cinnamon', 'flax seed', 'ground nutmeg', 'blueberries', 'walnuts']",8,water steel cut oats lemon zest ground cinnamon flax seed ground nutmeg blueberries walnuts,snacks
6231,169042,quick italian green beans,2,5,"['green beans', 'diced tomatoes', 'olive oil', 'balsamic vinegar', 'salt', 'pepper']",6,green beans diced tomatoes olive oil balsamic vinegar salt pepper,light_meal
6236,169124,quick mushroom barley pilaf ww,30,6,"['vegetable broth', 'quick-cooking barley', 'mushrooms', 'low sodium soy sauce']",4,vegetable broth quick cooking barley mushrooms low sodium soy sauce,snacks
6247,169450,quick vegan pesto alfredo sauce,10,3,"['water', 'firm tofu', 'cashews', 'black pepper', 'garlic salt', 'olive oil', 'nutritional yeast', 'poultry seasoning', 'pesto sauce']",9,water firm tofu cashews black pepper garlic salt olive oil nutritional yeast poultry seasoning pesto sauce,snacks
6259,169506,quick  buttercream  vegan  icing from longmeadow farm,10,3,"[""confectioners' sugar"", 'vanilla-flavored soymilk', 'vegan butter', 'vanilla extract']",4,confectioners sugar vanilla flavored soymilk vegan butter vanilla extract,snacks
6295,169718,quinoa soup from ecuador,25,6,"['quinoa', 'onion', 'salt', 'olive oil', 'tomatoes', 'vegetable bouillon cube', 'potatoes', 'cumin', 'black pepper', 'water', 'soymilk']",11,quinoa onion salt olive oil tomatoes vegetable bouillon cube potatoes cumin black pepper water soymilk,snacks
6300,169737,quinoa tabouli,25,11,"['water', 'fresh lemon juice', 'quinoa', 'olive oil', 'tomatoes', 'of fresh mint', 'parsley', 'scallion', 'salt']",9,water fresh lemon juice quinoa olive oil tomatoes fresh mint parsley scallion salt,snacks
6301,169744,quinoa winter salad,40,14,"['quinoa', 'water', 'olive oil', 'yellow onion', 'fresh sage leaves', 'apple', 'acorn squash', 'pumpkin pie spice', 'dried cranberries']",9,quinoa water olive oil yellow onion fresh sage leaves apple acorn squash pumpkin pie spice dried cranberries,snacks
6315,170026,radish and avocado salad   mexico,15,6,"['radishes', 'fresh lime juice', 'avocado', 'red onion', 'salt', 'fresh cilantro']",6,radishes fresh lime juice avocado red onion salt fresh cilantro,light_meal
